Category,Age Class,Age DR,Age Chi-Square,Body Class,Body DR,Body Chi-Square,Gender Class,Gender DR,Gender Chi-Square,Hair Class,Hair DR,Hair Chi-Square,Race Class,Race DR,Race Chi-Square,Validage Class,Validage DR,Validage Chi-Square,Validbody Class,Validbody DR,Validbody Chi-Square,Validgender Class,Validgender DR,Validgender Chi-Square,Validhair Class,Validhair DR,Validhair Chi-Square,Validrace Class,Validrace DR,Validrace Chi-Square
ApplyEyeMakeup,teenager,1.0,0.0,thin and short,1.0,0.0,female,1.0,0.0,blonde,0.4482758620689655,91.20689655172414,white,0.2206896551724138,310.58620689655174,teenager,1.0,0.0,thin and short,1.0,0.0,female,1.0,0.0,blonde,0.45517241379310347,97.66206896551724,white,0.29195402298850576,192.22068965517235
ApplyLipstick,teenager,0.47368421052631576,91.26315789473684,thin and short,1.0,0.0,female,1.0,0.0,blonde,0.4166666666666667,50.666666666666664,white,0.2719298245614035,120.47368421052632,teenager,0.4649122807017544,84.24561403508773,thin and short,1.0,0.0,female,1.0,0.0,blonde,0.42543859649122806,56.14035087719298,white,0.26608187134502925,111.21052631578948
Archery,teenager,1.0,0.0,wide and short,0.3896551724137931,45.248275862068965,male,0.38275862068965516,40.889655172413796,blonde,0.1724137931034483,175.35862068965517,white,0.4241379310344828,70.35172413793103,teenager,1.0,0.0,wide and short,0.39655172413793105,49.827586206896555,male,0.3758620689655172,36.751724137931035,blonde,0.21149425287356322,74.9103448275862,white,0.42758620689655175,73.1655172413793
BabyCrawling,kid,1.0,0.0,thin and short,0.3712121212121212,31.03030303030303,female,1.0,0.0,blonde,0.23484848484848486,334.6666666666667,white,1.0,0.0,kid,1.0,0.0,thin and short,0.4128787878787879,56.03030303030303,female,1.0,0.0,blonde,0.48484848484848486,116.48484848484848,white,1.0,0.0
BalanceBeam,teenager,1.0,0.0,thin and short,0.38425925925925924,31.14814814814815,female,1.0,0.0,blonde,1.0,0.0,white,0.42592592592592593,53.48148148148148,teenager,1.0,0.0,thin and short,0.42592592592592593,53.48148148148148,female,1.0,0.0,blonde,1.0,0.0,white,0.4398148148148148,62.25925925925926
BandMarching,teenager,0.4967741935483871,151.0258064516129,wide and short,0.42258064516129035,73.86451612903225,female,0.3258064516129032,14.251612903225807,blonde,0.45806451612903226,107.36129032258064,white,0.3247311827956989,286.50322580645167,teenager,1.0,0.0,wide and short,0.44193548387096776,91.36129032258064,female,0.3903225806451613,48.83225806451613,blonde,0.4806451612903226,131.92903225806452,white,1.0,0.0
BaseballPitch,teenager,1.0,0.0,wide and short,0.48,126.96,male,0.49333333333333335,142.10666666666665,blonde,0.49333333333333335,142.10666666666665,white,0.4066666666666667,58.906666666666666,teenager,1.0,0.0,wide and short,0.4666666666666667,112.66666666666667,male,1.0,0.0,blonde,1.0,0.0,white,0.41333333333333333,64.02666666666667
Basketball,teenager,0.47761194029850745,111.07462686567165,wide and short,0.47761194029850745,111.07462686567165,male,0.30970149253731344,7.641791044776119,blonde,0.39925373134328357,47.76119402985075,white,0.47388059701492535,107.46268656716418,teenager,0.48507462686567165,118.4776119402985,wide and short,1.0,0.0,male,0.30223880597014924,5.850746268656716,blonde,0.41044776119402987,55.19402985074627,white,0.47388059701492535,107.46268656716418
BasketballDunk,teenager,1.0,0.0,wide and short,1.0,0.0,male,0.4541984732824427,87.3969465648855,blonde,0.4847328244274809,115.4885496183206,white,0.3282442748091603,250.13740458015272,teenager,1.0,0.0,wide and short,1.0,0.0,male,1.0,0.0,blonde,1.0,0.0,white,1.0,0.0
BenchPress,teenager,1.0,0.0,thin and short,1.0,0.0,male,0.46875,122.5,blonde,0.33125,16.9,white,1.0,0.0,teenager,1.0,0.0,thin and short,1.0,0.0,male,0.465625,119.025,blonde,0.321875,13.225,white,1.0,0.0
Biking,teenager,0.40298507462686567,50.17910447761194,wide and short,0.39925373134328357,47.76119402985075,female,0.3582089552238806,25.104477611940297,blonde,0.44402985074626866,80.71641791044776,white,0.31840796019900497,233.38805970149258,teenager,0.40298507462686567,50.17910447761194,wide and short,0.376865671641791,34.507462686567166,female,0.3917910447761194,43.1044776119403,blonde,0.4626865671641791,96.98507462686567,white,1.0,0.0
Billiards,teenager,1.0,0.0,wide and short,1.0,0.0,male,0.4,54.0,blonde,0.39666666666666667,51.626666666666665,white,0.4033333333333333,56.42666666666667,teenager,1.0,0.0,wide and short,1.0,0.0,male,0.45,96.0,blonde,0.4166666666666667,66.66666666666667,white,0.44666666666666666,92.82666666666667
BlowDryHair,teenager,1.0,0.0,thin and short,1.0,0.0,female,1.0,0.0,blonde,0.1965648854961832,208.5114503816794,white,0.17099236641221374,353.5419847328244,teenager,1.0,0.0,thin and short,1.0,0.0,female,1.0,0.0,blonde,0.3969465648854962,45.25954198473283,white,0.2824427480916031,156.88549618320613
BlowingCandles,kid,0.3486238532110092,16.96330275229358,wide and short,0.2981651376146789,4.045871559633028,female,0.463302752293578,79.34862385321101,blonde,0.308868501529052,173.13761467889904,white,0.43577981651376146,60.19266055045872,kid,0.3577981651376147,20.26605504587156,wide and short,0.26146788990825687,0.22935779816513763,female,1.0,0.0,blonde,0.4541284403669725,72.6697247706422,white,0.41743119266055045,48.88990825688074
BodyWeightSquats,teenager,1.0,0.0,thin and short,0.4955357142857143,108.03571428571429,male,0.41517857142857145,48.892857142857146,blonde,0.33035714285714285,11.571428571428571,white,0.3244047619047619,206.37499999999994,teenager,1.0,0.0,thin and short,1.0,0.0,male,0.42857142857142855,57.142857142857146,blonde,0.32589285714285715,10.321428571428571,white,0.48214285714285715,96.57142857142857
Bowling,teenager,1.0,0.0,wide and short,0.4,55.8,male,0.267741935483871,0.7806451612903226,blonde,0.42258064516129035,73.86451612903225,white,0.36129032258064514,30.716129032258063,teenager,1.0,0.0,wide and short,0.47096774193548385,121.09032258064516,male,0.2709677419354839,1.0903225806451613,blonde,0.432258064516129,82.38064516129032,white,0.32903225806451614,15.490322580645161
BoxingPunchingBag,teenager,0.4938650306748466,155.09815950920245,thin and short,1.0,0.0,male,0.40797546012269936,65.08588957055214,blonde,0.39263803680981596,53.061349693251536,white,0.4938650306748466,155.09815950920245,teenager,0.48773006134969327,147.3926380368098,thin and short,1.0,0.0,male,0.41411042944785276,70.23926380368098,blonde,0.41411042944785276,70.23926380368098,white,1.0,0.0
BoxingSpeedBag,teenager,0.47761194029850745,111.07462686567165,thin and short,0.458955223880597,93.61194029850746,male,0.43283582089552236,71.67164179104478,blonde,0.1865671641791045,67.26865671641791,white,0.23694029850746268,348.08955223880594,teenager,0.47761194029850745,111.07462686567165,thin and short,0.4626865671641791,96.98507462686567,male,0.43283582089552236,71.67164179104478,blonde,0.27611940298507465,1.462686567164179,white,0.48507462686567165,118.4776119402985
BreastStroke,teenager,1.0,0.0,wide and short,0.2524752475247525,0.009900990099009901,female,0.48514851485148514,89.35643564356435,blonde,0.4306930693069307,52.76237623762376,white,0.43564356435643564,55.693069306930695,teenager,1.0,0.0,thin and short,0.30198019801980197,4.366336633663367,female,1.0,0.0,blonde,0.4603960396039604,71.53465346534654,white,0.4603960396039604,71.53465346534654
BrushingTeeth,teenager,0.31679389312977096,9.351145038167939,thin and short,1.0,0.0,female,0.40458015267175573,50.083969465648856,blonde,0.2697201017811705,137.6030534351145,white,0.27989821882951654,155.28244274809163,teenager,0.31297709923664124,8.312977099236642,thin and short,1.0,0.0,female,0.41603053435114506,57.778625954198475,blonde,0.2697201017811705,135.40458015267177,white,0.4312977099236641,68.89312977099236
CleanAndJerk,teenager,1.0,0.0,thin and short,1.0,0.0,male,0.42857142857142855,57.142857142857146,blonde,0.46875,85.75,white,0.30952380952380953,179.0535714285714,teenager,1.0,0.0,thin and short,1.0,0.0,male,0.4017857142857143,41.285714285714285,blonde,0.48214285714285715,96.57142857142857,white,0.4642857142857143,82.28571428571429
CliffDiving,teenager,1.0,0.0,wide and short,0.3007246376811594,5.681159420289855,female,0.42391304347826086,66.78260869565217,blonde,0.40217391304347827,51.130434782608695,white,0.1956521739130435,213.18840579710144,teenager,1.0,0.0,wide and short,0.30434782608695654,6.521739130434782,female,0.4746376811594203,111.42028985507247,blonde,0.4601449275362319,97.5072463768116,white,0.2898550724637681,179.65217391304347
CricketBowling,teenager,0.4712230215827338,108.84172661870504,wide and short,0.49280575539568344,131.11510791366908,male,0.4028776978417266,51.97841726618705,blonde,0.3776978417266187,36.26618705035971,white,0.1564748201438849,123.18705035971223,teenager,0.45323741007194246,91.86330935251799,wide and short,1.0,0.0,male,0.39568345323741005,47.201438848920866,blonde,0.3776978417266187,36.26618705035971,white,0.18944844124700239,41.84172661870503
CricketShot,teenager,0.49101796407185627,155.21556886227546,wide and short,1.0,0.0,male,0.38622754491017963,49.58682634730539,blonde,0.27944111776447106,197.25748502994014,white,0.16766467065868262,165.19161676646706,teenager,1.0,0.0,wide and short,1.0,0.0,male,0.36227544910179643,33.68263473053892,blonde,0.437125748502994,93.562874251497,white,0.2315369261477046,98.81437125748504
CuttingInKitchen,teenager,1.0,0.0,thin and short,0.4772727272727273,90.9090909090909,female,0.42727272727272725,55.30909090909091,blonde,0.2696969696969697,112.05454545454545,white,0.39545454545454545,37.236363636363635,teenager,1.0,0.0,thin and short,0.4818181818181818,94.58181818181818,female,0.44545454545454544,67.23636363636363,blonde,0.2787878787878788,126.61818181818182,white,0.38181818181818183,30.581818181818182
Diving,teenager,1.0,0.0,wide and short,0.48333333333333334,130.66666666666666,female,0.4533333333333333,99.22666666666667,blonde,0.47,116.16,white,0.28888888888888886,192.16,teenager,1.0,0.0,wide and short,1.0,0.0,female,0.48,126.96,blonde,1.0,0.0,white,0.3022222222222222,221.87999999999997
Drumming,teenager,0.4782608695652174,134.2173913043478,wide and short,0.40993788819875776,65.8944099378882,male,0.3198757763975155,12.577639751552795,blonde,0.2546583850931677,0.055900621118012424,white,0.2443064182194617,122.47204968944102,teenager,0.4782608695652174,134.2173913043478,wide and short,0.40683229813664595,63.36024844720497,male,0.35403726708074534,27.88198757763975,blonde,0.2515527950310559,0.006211180124223602,white,0.2608695652173913,150.34782608695656
Fencing,teenager,1.0,0.0,wide and short,1.0,0.0,male,0.2747747747747748,1.09009009009009,blonde,1.0,0.0,white,0.481981981981982,95.57657657657657,teenager,1.0,0.0,wide and short,1.0,0.0,female,0.25675675675675674,0.08108108108108109,blonde,1.0,0.0,white,0.481981981981982,95.57657657657657
FieldHockeyPenalty,teenager,1.0,0.0,wide and short,1.0,0.0,male,0.3134920634920635,8.126984126984127,blonde,0.45634920634920634,85.84126984126983,white,0.31746031746031744,217.33333333333334,teenager,1.0,0.0,wide and short,1.0,0.0,male,0.27380952380952384,1.1428571428571428,blonde,0.4523809523809524,82.57142857142857,white,1.0,0.0
FloorGymnastics,teenager,0.492,117.128,thin and short,0.412,52.488,female,0.496,121.032,blonde,0.488,113.288,white,0.424,60.552,teenager,1.0,0.0,thin and short,0.456,84.872,female,1.0,0.0,blonde,1.0,0.0,white,0.444,75.272
FrisbeeCatch,teenager,1.0,0.0,wide and short,0.4603174603174603,89.17460317460318,male,0.44047619047619047,73.14285714285714,blonde,0.4523809523809524,82.57142857142857,white,0.49603174603174605,122.03174603174604,teenager,1.0,0.0,wide and short,0.48412698412698413,110.5079365079365,male,0.47619047619047616,103.14285714285714,blonde,0.4801587301587302,106.7936507936508,white,1.0,0.0
FrontCrawl,teenager,0.49635036496350365,133.02919708029196,thin and short,0.3357664233576642,16.124087591240876,female,0.3978102189781022,47.89051094890511,blonde,0.2141119221411192,77.27007299270073,white,0.49635036496350365,133.02919708029196,teenager,1.0,0.0,thin and short,0.33941605839416056,17.525547445255473,female,0.4233576642335766,65.87591240875912,blonde,0.22871046228710462,87.25547445255475,white,1.0,0.0
GolfSwing,teenager,1.0,0.0,wide and short,0.4316546762589928,73.38848920863309,male,0.49640287769784175,135.02877697841726,blonde,0.4136690647482014,59.57553956834533,white,0.49640287769784175,135.02877697841726,teenager,1.0,0.0,wide and short,0.4244604316546763,67.69064748201438,male,1.0,0.0,blonde,0.43884892086330934,79.31654676258992,white,1.0,0.0
Haircut,teenager,0.4807692307692308,110.76923076923077,thin and short,1.0,0.0,female,0.4576923076923077,89.72307692307692,blonde,0.23333333333333334,84.75384615384614,white,0.28205128205128205,154.99999999999997,teenager,1.0,0.0,thin and short,1.0,0.0,female,0.4846153846153846,114.49230769230769,blonde,0.39615384615384613,44.43076923076923,white,0.28205128205128205,154.99999999999997
HammerThrow,teenager,1.0,0.0,thin and short,0.3,6.0,male,0.32,11.76,blonde,0.4633333333333333,109.22666666666667,white,0.22333333333333333,332.50666666666666,teenager,1.0,0.0,thin and short,0.37333333333333335,36.50666666666667,male,0.3,6.0,blonde,0.48333333333333334,130.66666666666666,white,0.47,116.16
Hammering,teenager,0.3892857142857143,43.457142857142856,wide and short,0.3142857142857143,9.257142857142858,male,0.4035714285714286,52.82857142857143,blonde,0.41785714285714287,63.114285714285714,white,0.2642857142857143,140.84285714285718,teenager,0.38571428571428573,41.25714285714286,wide and short,0.29285714285714287,4.114285714285714,male,0.41785714285714287,63.114285714285714,blonde,0.425,68.6,white,0.37142857142857144,33.02857142857143
HandstandPushups,teenager,0.4921875,120.125,thin and short,1.0,0.0,male,0.41015625,52.53125,black,0.296875,4.5,white,0.3098958333333333,204.85937500000003,teenager,0.484375,112.5,thin and short,1.0,0.0,male,0.40625,50.0,black,0.3125,8.0,white,0.3020833333333333,189.10937500000003
HandstandWalking,teenager,0.46846846846846846,84.76576576576576,thin and short,0.4774774774774775,91.90090090090091,female,0.4009009009009009,40.44144144144144,blonde,0.22822822822822822,66.54054054054053,white,0.32432432432432434,204.3783783783784,teenager,0.481981981981982,95.57657657657657,thin and short,1.0,0.0,female,0.4144144144144144,48.009009009009006,blonde,0.21921921921921922,55.18918918918918,white,1.0,0.0
HeadMassage,teenager,0.4557823129251701,99.59863945578232,thin and short,1.0,0.0,male,0.41156462585034015,61.394557823129254,blonde,0.30385487528344673,222.40816326530614,asian,0.11337868480725624,321.204081632653,teenager,0.4523809523809524,96.33333333333333,thin and short,1.0,0.0,male,0.41496598639455784,64.00680272108843,blonde,0.46258503401360546,106.29251700680273,asian,0.23809523809523808,106.44897959183673
HighJump,teenager,0.46747967479674796,93.08130081300813,thin and short,0.3617886178861789,24.59349593495935,female,0.3983739837398374,43.32520325203252,blonde,0.3983739837398374,43.32520325203252,white,0.491869918699187,115.130081300813,teenager,0.47560975609756095,100.17073170731707,thin and short,0.36585365853658536,26.414634146341463,female,0.4634146341463415,89.63414634146342,blonde,0.4146341463414634,53.34146341463415,white,1.0,0.0
HorseRace,teenager,1.0,0.0,wide and short,0.45161290322580644,80.64516129032258,female,1.0,0.0,blonde,0.47580645161290325,101.16129032258064,white,0.4959677419354839,120.03225806451613,teenager,1.0,0.0,wide and short,0.4596774193548387,87.2258064516129,female,1.0,0.0,blonde,1.0,0.0,white,1.0,0.0
HorseRiding,teenager,0.4969512195121951,160.02439024390245,thin and short,0.4329268292682927,87.8048780487805,female,1.0,0.0,blonde,0.0701219512195122,4.195121951219512,white,0.4969512195121951,160.02439024390245,teenager,1.0,0.0,thin and short,0.43902439024390244,93.7560975609756,female,1.0,0.0,blonde,0.07774390243902439,4.536585365853659,white,1.0,0.0
HulaHoop,teenager,0.412,52.488,thin and short,0.432,66.248,female,0.436,69.192,blonde,0.44,72.2,white,0.444,75.272,teenager,0.4,45.0,thin and short,0.444,75.272,female,0.44,72.2,blonde,0.468,95.048,white,0.432,66.248
IceDancing,teenager,1.0,0.0,thin and short,0.379746835443038,42.55696202531646,female,0.4936708860759494,150.1012658227848,blonde,0.4873417721518987,142.40506329113924,white,0.4873417721518987,142.40506329113924,teenager,1.0,0.0,thin and short,0.4050632911392405,60.78481012658228,female,1.0,0.0,blonde,0.4778481012658228,131.2405063291139,white,0.4810126582278481,134.91139240506328
JavelinThrow,teenager,0.49572649572649574,113.03418803418803,wide and short,0.3076923076923077,6.230769230769231,male,0.2948717948717949,3.769230769230769,blonde,0.42735042735042733,58.88034188034188,white,0.31054131054131057,188.9230769230769,teenager,1.0,0.0,wide and short,0.29914529914529914,4.521367521367521,male,0.2948717948717949,3.769230769230769,blonde,0.46153846153846156,83.76923076923077,white,0.46153846153846156,83.76923076923077
JugglingBalls,teenager,0.4793388429752066,101.82644628099173,thin and short,0.3884297520661157,37.099173553719005,male,0.4462809917355372,74.58677685950413,blonde,0.33884297520661155,15.28099173553719,white,0.45041322314049587,77.7603305785124,teenager,0.4793388429752066,101.82644628099173,thin and short,0.41735537190082644,54.22314049586777,male,0.45041322314049587,77.7603305785124,blonde,0.3512396694214876,19.84297520661157,white,0.44214876033057854,71.47933884297521
JumpRope,teenager,0.4861111111111111,128.44444444444446,thin and short,0.4861111111111111,128.44444444444446,male,0.3888888888888889,44.44444444444444,blonde,0.3125,9.0,white,0.4861111111111111,128.44444444444446,teenager,0.4861111111111111,128.44444444444446,thin and short,0.4826388888888889,124.69444444444444,male,0.3958333333333333,49.0,blonde,0.3263888888888889,13.444444444444445,white,0.4861111111111111,128.44444444444446
JumpingJack,teenager,1.0,0.0,thin and short,0.47560975609756095,100.17073170731707,male,0.25609756097560976,0.07317073170731707,blonde,0.2222222222222222,78.1951219512195,white,0.44308943089430897,73.3739837398374,teenager,1.0,0.0,thin and short,0.483739837398374,107.52032520325203,male,0.25609756097560976,0.07317073170731707,blonde,0.32113821138211385,9.959349593495935,white,0.4268292682926829,61.53658536585366
Kayaking,teenager,1.0,0.0,wide and short,1.0,0.0,female,0.45390070921985815,93.79432624113475,blonde,0.18439716312056736,70.25531914893617,white,0.42907801418439717,72.34751773049645,teenager,1.0,0.0,wide and short,1.0,0.0,female,0.4645390070921986,103.83687943262412,blonde,0.2624113475177305,0.3475177304964539,white,0.4326241134751773,75.24113475177305
Knitting,teenager,1.0,0.0,thin and short,0.45934959349593496,86.2520325203252,female,1.0,0.0,blonde,0.20528455284552846,214.26829268292684,white,0.3861788617886179,36.49593495934959,teenager,1.0,0.0,thin and short,0.47560975609756095,100.17073170731707,female,1.0,0.0,blonde,0.21138211382113822,233.71544715447158,white,0.3983739837398374,43.32520325203252
