Category,Age Class,Age DR,Age Chi-Square,Body Class,Body DR,Body Chi-Square,Gender Class,Gender DR,Gender Chi-Square,Hair Class,Hair DR,Hair Chi-Square,Race Class,Race DR,Race Chi-Square
Mixing,teenager,1.0,0.0,thin,1.0,0.0,female,1.0,0.0,blonde,0.3382352941176471,16.941176470588236,asian,0.2757352941176471,1.4411764705882353
MoppingFloor,teenager,0.2863636363636364,2.327272727272727,thin,1.0,0.0,female,0.41363636363636364,47.127272727272725,black,0.38636363636363635,32.72727272727273,white,0.24545454545454545,86.41818181818182
Nunchucks,teenager,1.0,0.0,thin,1.0,0.0,male,0.44696969696969696,81.93939393939394,black,0.4128787878787879,56.03030303030303,white,0.15404040404040403,28.954545454545453
ParallelBars,teenager,1.0,0.0,thin,1.0,0.0,female,0.4649122807017544,84.24561403508773,blonde,0.25877192982456143,0.14035087719298245,white,0.4517543859649123,74.24561403508773
PizzaTossing,teenager,0.4823008849557522,97.56637168141593,thin,1.0,0.0,male,0.4026548672566372,42.13274336283186,black,0.3495575221238938,17.920353982300885,white,0.4823008849557522,97.56637168141593
PlayingCello,teenager,0.39634146341463417,56.19512195121951,thin,1.0,0.0,female,0.2530487804878049,0.024390243902439025,black,0.29573170731707316,5.487804878048781,white,0.23373983739837398,101.42682926829269
PlayingDaf,teenager,1.0,0.0,thin,1.0,0.0,male,0.39403973509933776,50.12582781456954,black,0.32781456953642385,14.629139072847682,asian,0.15894039735099338,39.82781456953642
PlayingDhol,teenager,0.38109756097560976,45.09756097560975,thin,1.0,0.0,male,0.3567073170731707,29.878048780487806,black,0.4573170731707317,112.78048780487805,asian,0.12195121951219512,75.85365853658536
PlayingFlute,teenager,0.4774193548387097,128.26451612903224,thin,1.0,0.0,female,0.3032258064516129,7.025806451612903,black,0.36129032258064514,30.716129032258063,asian,0.17634408602150536,65.12258064516129
PlayingGuitar,teenager,1.0,0.0,thin,1.0,0.0,male,0.4125,67.6,black,0.41875,72.9,white,0.2625,148.84999999999997
PlayingPiano,teenager,0.48095238095238096,89.60952380952381,thin,1.0,0.0,male,0.38571428571428573,30.942857142857143,black,0.28253968253968254,125.88571428571429,white,0.23174603174603176,65.54285714285714
PlayingSitar,teenager,0.47770700636942676,130.2484076433121,thin,1.0,0.0,male,0.37898089171974525,41.789808917197455,black,0.3471337579617834,23.70063694267516,indian,0.08439490445859872,11.535031847133757
PlayingTabla,teenager,0.46396396396396394,81.30630630630631,thin,1.0,0.0,male,0.2972972972972973,3.972972972972973,black,0.2882882882882883,2.6036036036036037,indian,0.0990990990990991,29.0
PlayingViolin,teenager,0.44,57.76,thin,1.0,0.0,male,0.32,7.84,black,0.36,19.36,white,0.24,73.28
PoleVault,teenager,1.0,0.0,thin,1.0,0.0,female,0.40939597315436244,60.57046979865772,black,0.46308724832214765,108.24832214765101,white,0.37583892617449666,37.75167785234899
PommelHorse,teenager,0.4796747967479675,103.8130081300813,thin,1.0,0.0,female,0.3780487804878049,32.26829268292683,blonde,0.3170731707317073,8.853658536585366,white,0.44715447154471544,76.4959349593496
PullUps,teenager,1.0,0.0,thin,1.0,0.0,male,0.38,27.04,black,0.4,36.0,white,0.28,116.47999999999999
Punch,teenager,1.0,0.0,thin,1.0,0.0,male,1.0,0.0,black,0.421875,75.625,white,0.290625,4.225
PushUps,teenager,1.0,0.0,thin,1.0,0.0,male,0.3627450980392157,20.745098039215687,black,0.27941176470588236,1.411764705882353,white,0.28104575163398693,119.29411764705881
Rafting,teenager,1.0,0.0,thin,1.0,0.0,female,1.0,0.0,black,0.35135135135135137,18.243243243243242,white,1.0,0.0
RockClimbingIndoor,teenager,0.4756944444444444,117.36111111111111,thin,1.0,0.0,female,0.34375,20.25,black,0.4201388888888889,66.69444444444444,white,0.29398148148148145,195.12500000000003
RopeClimbing,teenager,0.44537815126050423,72.68067226890756,thin,1.0,0.0,female,0.36134453781512604,23.605042016806724,black,0.3445378151260504,17.016806722689076,white,0.4411764705882353,69.58823529411765
Rowing,teenager,1.0,0.0,thin,1.0,0.0,female,0.4306569343065693,71.54014598540147,black,0.33941605839416056,17.525547445255473,white,0.4781021897810219,114.05109489051095
SalsaSpin,teenager,1.0,0.0,thin,1.0,0.0,female,1.0,0.0,black,0.2781954887218045,1.6917293233082706,white,0.35714285714285715,24.428571428571427
ShavingBeard,teenager,0.48757763975155277,145.3975155279503,thin,1.0,0.0,male,0.4472049689440994,100.18012422360249,blonde,0.2670807453416149,0.7515527950310559,white,0.20082815734989648,64.55900621118013
Shotput,teenager,1.0,0.0,thin,1.0,0.0,male,0.40625,56.25,black,0.4236111111111111,69.44444444444444,white,0.25,114.54166666666666
SkateBoarding,teenager,0.48333333333333334,104.53333333333333,thin,1.0,0.0,male,0.32916666666666666,12.033333333333333,black,1.0,0.0,white,0.2,40.2
Skiing,teenager,1.0,0.0,thin,1.0,0.0,female,0.4740740740740741,108.45185185185186,black,0.44074074074074077,78.58518518518518,white,1.0,0.0
Skijet,teenager,1.0,0.0,thin,1.0,0.0,female,1.0,0.0,black,0.46,70.56,white,1.0,0.0
SkyDiving,teenager,1.0,0.0,thin,1.0,0.0,female,0.4590909090909091,76.94545454545455,black,0.43636363636363634,61.127272727272725,white,0.19090909090909092,28.490909090909092
SoccerJuggling,teenager,0.37755102040816324,38.265306122448976,thin,1.0,0.0,male,0.391156462585034,46.863945578231295,black,0.3401360544217687,19.108843537414966,white,0.4421768707482993,86.8639455782313
SoccerPenalty,teenager,1.0,0.0,thin,0.48175182481751827,117.72992700729927,male,0.48175182481751827,117.72992700729927,blonde,0.2737226277372263,1.2335766423357664,white,0.25547445255474455,120.93430656934306
StillRings,teenager,1.0,0.0,thin,1.0,0.0,female,0.36160714285714285,22.321428571428573,blonde,0.36160714285714285,22.321428571428573,white,0.35714285714285715,20.571428571428573
SumoWrestling,teenager,1.0,0.0,thin,1.0,0.0,male,0.4827586206896552,100.55172413793103,black,1.0,0.0,asian,0.1867816091954023,48.63793103448276
Surfing,teenager,1.0,0.0,thin,1.0,0.0,female,0.4642857142857143,92.57142857142857,black,0.40476190476190477,48.285714285714285,white,0.48412698412698413,110.5079365079365
Swing,kid,0.48091603053435117,111.76335877862596,thin,1.0,0.0,female,0.4847328244274809,115.4885496183206,blonde,0.44656488549618323,80.98473282442748,white,0.46946564885496184,100.95419847328245
TableTennisShot,teenager,1.0,0.0,thin,1.0,0.0,male,0.475,113.4,black,0.3464285714285714,20.82857142857143,white,0.18571428571428572,42.528571428571425
TaiChi,teenager,1.0,0.0,thin,1.0,0.0,male,0.34,12.96,black,0.42,46.24,asian,0.46,70.56
TennisSwing,teenager,1.0,0.0,thin,1.0,0.0,male,0.3192771084337349,12.74698795180723,black,0.3795180722891566,44.55421686746988,white,0.26706827309236947,166.78313253012044
ThrowDiscus,teenager,1.0,0.0,thin,1.0,0.0,male,0.38846153846153847,39.87692307692308,black,0.4230769230769231,62.30769230769231,white,0.2717948717948718,138.2
TrampolineJumping,,,,thin,1.0,0.0,female,0.4579831932773109,82.36134453781513,blonde,0.3445378151260504,17.016806722689076,white,0.4831932773109244,103.53781512605042
Typing,,,,thin,1.0,0.0,female,0.4852941176470588,120.47058823529412,black,0.33088235294117646,14.235294117647058,asian,0.25245098039215685,110.13235294117646
UnevenBars,,,,thin,1.0,0.0,female,1.0,0.0,blonde,0.4423076923076923,61.53846153846154,white,0.3894230769230769,32.34615384615385
VolleyballSpiking,,,,thin,1.0,0.0,female,0.28448275862068967,2.206896551724138,black,0.46551724137931033,86.20689655172414,white,0.2959770114942529,160.56896551724142
WalkingWithDog,,,,thin,1.0,0.0,female,0.45528455284552843,82.9349593495935,black,0.3821138211382114,34.34959349593496,white,0.23848238482384823,89.70731707317073
WallPushups,,,,thin,1.0,0.0,female,0.27692307692307694,1.5076923076923077,black,0.2846153846153846,2.4923076923076923,white,0.3,188.1384615384615
WritingOnBoard,,,,thin,1.0,0.0,male,0.4375,85.5,black,0.3256578947368421,13.921052631578947,white,0.30701754385964913,236.3026315789474
YoYo,,,,thin,1.0,0.0,male,1.0,0.0,black,0.421875,60.5,asian,0.17708333333333334,31.75
