step,avg_chi
0,1691.9616984449692
1,1691.587881664289
2,1691.214149292171
3,1690.8405013546417
4,1690.4669378777435
5,1690.0934588875332
6,1689.7200644100828
7,1689.3467544714786
8,1688.9735290978224
9,1688.6003883152316
10,1688.2273321498367
11,1687.8543606277847
12,1687.4814737752379
13,1687.1086716183718
14,1686.7359541833787
15,1686.3633214964648
16,1685.9907735838522
17,1685.6183104717772
18,1685.2459321864924
19,1684.8736387542633
20,1684.5014302013733
21,1684.1293065541183
22,1683.7572678388108
23,1683.385314081779
24,1683.013445309364
25,1682.641661547924
26,1682.2699628238315
27,1681.8983491634751
28,1681.526820593257
29,1681.1553771395963
30,1680.7840188289258
31,1680.4127456876952
32,1680.0415577423676
33,1679.6704550194227
34,1679.2994375453552
35,1678.928505346674
36,1678.5576584499056
37,1678.1868968815888
38,1677.8162206682807
39,1677.445629836552
40,1677.0751244129879
41,1676.7047044241917
42,1676.3343698967801
43,1675.9641208573848
44,1675.5939573326543
45,1675.2238793492522
46,1674.8538869338565
47,1674.483980113162
48,1674.1141589138776
49,1673.7444233627284
50,1673.3747734864555
51,1673.0052093118147
52,1672.635730865577
53,1672.2663381745297
54,1671.8970312654753
55,1671.527810165232
56,1671.1586749006335
57,1670.789625498528
58,1670.4206619857814
59,1670.0517843892733
60,1669.6829927359001
61,1669.3142870525726
62,1668.945667366219
63,1668.577133703781
64,1668.208686092218
65,1667.8403245585025
66,1667.4720491296264
67,1667.103859832594
68,1666.7357566944268
69,1666.3677397421613
70,1665.9998090028503
71,1665.6319645035626
72,1665.264206271382
73,1664.8965343334075
74,1664.5289487167565
75,1664.1614494485596
76,1663.7940365559637
77,1663.426710066132
78,1663.0594700062445
79,1662.692316403495
80,1662.3252492850936
81,1661.9582686782687
82,1661.5913746102613
83,1661.2245671083294
84,1660.8578461997486
85,1660.491211911808
86,1660.1246642718143
87,1659.7582033070892
88,1659.3918290449703
89,1659.025541512813
90,1658.6593407379862
91,1658.2932267478761
92,1657.9271995698855
93,1657.5612592314308
94,1657.1954057599476
95,1656.8296391828856
96,1656.4639595277115
97,1656.098366821907
98,1655.7328610929708
99,1655.3674423684176
100,1655.0021106757779
101,1654.636866042599
102,1654.271708496444
103,1653.9066380648908
104,1653.5416547755365
105,1653.1767586559918
106,1652.8119497338846
107,1652.4472280368584
108,1652.0825935925748
109,1651.7180464287092
110,1651.3535865729546
111,1650.9892140530203
112,1650.6249288966312
113,1650.2607311315298
114,1649.8966207854737
115,1649.5325978862368
116,1649.1686624616102
117,1648.8048145394011
118,1648.4410541474317
119,1648.0773813135436
120,1647.7137960655925
121,1647.3502984314498
122,1646.9868884390064
123,1646.6235661161663
124,1646.2603314908526
125,1645.8971845910035
126,1645.5341254445732
127,1645.1711540795343
128,1644.8082705238733
129,1644.4454748055966
130,1644.0827669527241
131,1643.7201469932932
132,1643.357614955359
133,1642.9951708669912
134,1642.6328147562774
135,1642.2705466513228
136,1641.9083665802466
137,1641.5462745711866
138,1641.1842706522968
139,1640.8223548517478
140,1640.460527197727
141,1640.098787718438
142,1639.7371364421015
143,1639.375573396955
144,1639.014098611253
145,1638.652712113266
146,1638.2914139312822
147,1637.930204093606
148,1637.5690826285581
149,1637.208049564477
150,1636.847104929718
151,1636.4862487526525
152,1636.125481061669
153,1635.7648018851735
154,1635.4042112515874
155,1635.043709189351
156,1634.6832957269205
157,1634.3229708927684
158,1633.9627347153853
159,1633.6025872232779
160,1633.2425284449707
161,1632.8825584090039
162,1632.5226771439363
163,1632.1628846783424
164,1631.8031810408145
165,1631.4435662599626
166,1631.0840403644113
167,1630.7246033828044
168,1630.3652553438026
169,1630.0059962760831
170,1629.6468262083406
171,1629.2877451692864
172,1628.9287531876496
173,1628.5698502921762
174,1628.2110365116296
175,1627.8523118747896
176,1627.493676410454
177,1627.1351301474385
178,1626.776673114574
179,1626.4183053407098
180,1626.060026854714
181,1625.7018376854678
182,1625.3437378618744
183,1624.9857274128517
184,1624.6278063673356
185,1624.269974754279
186,1623.9122326026525
187,1623.5545799414438
188,1623.197016799658
189,1622.8395432063182
190,1622.4821591904638
191,1622.1248647811528
192,1621.7676600074603
193,1621.4105448984783
194,1621.0535194833164
195,1620.6965837911023
196,1620.339737850981
197,1619.9829816921147
198,1619.6263153436832
199,1619.2697388348836
200,1618.9132521949323
201,1618.5568554530607
202,1618.2005486385187
203,1617.8443317805752
204,1617.4882049085152
205,1617.1321680516412
206,1616.7762212392747
207,1616.420364500754
208,1616.064597865435
209,1615.708921362692
210,1615.3533350219159
211,1614.9978388725158
212,1614.6424329439194
213,1614.2871172655712
214,1613.9318918669335
215,1613.5767567774867
216,1613.2217120267298
217,1612.8667576441774
218,1612.5118936593637
219,1612.1571201018414
220,1611.8024370011792
221,1611.4478443869646
222,1611.093342288803
223,1610.7389307363173
224,1610.3846097591495
225,1610.0303793869582
226,1609.6762396494205
227,1609.3221905762314
228,1608.968232197105
229,1608.6143645417706
230,1608.2605876399787
231,1607.9069015214966
232,1607.5533062161085
233,1607.1998017536177
234,1606.8463881638472
235,1606.4930654766347
236,1606.1398337218382
237,1605.7866929293343
238,1605.4336431290164
239,1605.0806843507964
240,1604.727816624605
241,1604.3750399803903
242,1604.022354448119
243,1603.6697600577763
244,1603.317256839365
245,1602.9648448229066
246,1602.6125240384415
247,1602.2602945160263
248,1601.9081562857384
249,1601.5561093776726
250,1601.2041538219412
251,1600.8522896486759
252,1600.5005168880264
253,1600.148835570161
254,1599.7972457252654
255,1599.4457473835453
256,1599.094340575224
257,1598.743025330543
258,1598.391801679764
259,1598.0406696531634
260,1597.6896292810404
261,1597.3386805937105
262,1596.9878236215075
263,1596.6370583947846
264,1596.2863849439134
265,1595.9358032992839
266,1595.585313491305
267,1595.2349155504035
268,1594.8846095070257
269,1594.5343953916363
270,1594.1842732347184
271,1593.8342430667738
272,1593.4843049183235
273,1593.134458819906
274,1592.7847048020806
275,1592.435042895423
276,1592.08547313053
277,1591.735995538015
278,1591.3866101485116
279,1591.0373169926715
280,1590.6881161011654
281,1590.3390075046839
282,1589.9899912339345
283,1589.6410673196453
284,1589.2922357925627
285,1588.9434966834513
286,1588.594850023096
287,1588.2462958422984
288,1587.897834171883
289,1587.5494650426888
290,1587.2011884855767
291,1586.8530045314262
292,1586.5049132111342
293,1586.1569145556186
294,1585.8090085958163
295,1585.4611953626809
296,1585.1134748871882
297,1584.7658472003313
298,1584.4183123331231
299,1584.0708703165947
300,1583.7235211817977
301,1583.376264959802
302,1583.0291016816966
303,1582.682031378591
304,1582.335054081612
305,1581.9881698219076
306,1581.6413786306427
307,1581.2946805390047
308,1580.948075578197
309,1580.601563779445
310,1580.255145173991
311,1579.9088197930987
312,1579.5625876680506
313,1579.2164488301478
314,1578.8704033107117
315,1578.5244511410826
316,1578.1785923526204
317,1577.8328269767046
318,1577.4871550447344
319,1577.1415765881272
320,1576.7960916383217
321,1576.4507002267756
322,1576.1054023849647
323,1575.760198144386
324,1575.4150875365565
325,1575.07007059301
326,1574.7251473453027
327,1574.3803178250103
328,1574.035582063726
329,1573.6909400930651
330,1573.3463919446606
331,1573.0019376501668
332,1572.6575772412561
333,1572.3133107496226
334,1571.9691382069789
335,1571.625059645057
336,1571.2810750956098
337,1570.9371845904086
338,1570.5933881612466
339,1570.2496858399347
340,1569.9060776583046
341,1569.5625636482084
342,1569.2191438415175
343,1568.8758182701229
344,1568.5325869659355
345,1568.1894499608873
346,1567.8464072869294
347,1567.5034589760326
348,1567.1606050601883
349,1566.8178455714078
350,1566.4751805417218
351,1566.1326100031822
352,1565.79013398786
353,1565.4477525278464
354,1565.105465655254
355,1564.763273402213
356,1564.4211758008762
357,1564.0791728834154
358,1563.7372646820222
359,1563.39545122891
360,1563.0537325563107
361,1562.712108696477
362,1562.3705796816819
363,1562.0291455442195
364,1561.68775035371
365,1561.3464500932878
366,1561.005188820717
367,1560.664022531053
368,1560.3228952701993
369,1559.981863045138
370,1559.6408698899052
371,1559.2999718234157
372,1558.959112867834
373,1558.6183490540118
374,1558.2776243922372
375,1557.9369949253044
376,1557.596404651619
377,1557.2559096259222
378,1556.9154538347357
379,1556.5750933447514
380,1556.2347721305987
381,1555.8945462709278
382,1555.5543597284723
383,1555.214268593844
384,1554.8742168178753
385,1554.5342605031458
386,1554.1943435885823
387,1553.8545221887355
388,1553.5147402306222
389,1553.1750538407705
390,1552.835406934281
391,1552.4958556496642
392,1552.1563438901
393,1551.8169278060875
394,1551.477551288879
395,1551.1382705009667
396,1550.7990293216735
397,1550.459883925488
398,1550.1207781797982
399,1549.7817682710947
400,1549.442798054826
401,1549.1039237294888
402,1548.7650891385874
403,1548.4263504926319
404,1548.0876516231747
405,1547.7490487527446
406,1547.4104857009381
407,1547.0720187023078
408,1546.7335915644899
409,1546.3952605340637
410,1546.056969406701
411,1545.7187744410155
412,1545.380619420707
413,1545.0425606164272
414,1544.7045417999022
415,1544.3666192538265
416,1544.0287367379453
417,1543.690950547002
418,1543.3532044287583
419,1543.0155546900078
420,1542.6779450665242
421,1542.34043187716
422,1542.0029588456928
423,1541.6655823030387
424,1541.3282459609763
425,1540.9910061624898
426,1540.6538066073535
427,1540.316703650625
428,1539.9796409800674
429,1539.6426749628197
430,1539.3057492746286
431,1538.9689202947168
432,1538.6321316868125
433,1538.2954398422262
434,1537.9587884126624
435,1537.622233801525
436,1537.2857196484895
437,1536.9493023690582
438,1536.6129255908725
439,1536.276645741539
440,1535.9404064366588
441,1535.6042641159486
442,1535.2681623829656
443,1534.9321576895393
444,1534.5961936271785
445,1534.2603266598326
446,1533.9245003669541
447,1533.5887712246197
448,1533.2530828002216
449,1532.9174915819642
450,1532.5819411251766
451,1532.2464879302004
452,1531.911075540292
453,1531.5757604679338
454,1531.240486244309
455,1530.9053093940445
456,1530.5701734362435
457,1530.2351349076841
458,1529.9001373153844
459,1529.565237208278
460,1529.2303780812945
461,1528.8956164955273
462,1528.5608959338108
463,1528.2262729694057
464,1527.8916910730459
465,1527.5572068301633
466,1527.2227636993873
467,1526.8884182783252
468,1526.5541140134985
469,1526.2199075146946
470,1525.88574221632
471,1525.55167474035
472,1525.2176485090697
473,1524.8837201566469
474,1524.5498330932423
475,1524.2160439652207
476,1523.8822961706119
477,1523.5486463679833
478,1523.2150379432303
479,1522.8815275671266
480,1522.5480586134288
481,1522.2146877651228
482,1521.881358383819
483,1521.5481271647225
484,1521.2149374572928
485,1520.881845968958
486,1520.5487960370235
487,1520.2158443811434
488,1519.8829343264642
489,1519.5501226048743
490,1519.2173525293522
491,1518.884680844027
492,1518.5520508497068
493,1518.219519302763
494,1517.8870294918295
495,1517.5546381855265
496,1517.2222886603067
497,1516.890037697045
498,1516.5578285600086
499,1516.225718042332
500,1515.8936493960907
501,1515.5616794266843
502,1515.2297513739925
503,1514.8979220556855
504,1514.566134699442
505,1514.2344461352066
506,1513.9027995784515
507,1513.5712518714033
508,1513.239746217322
509,1512.9083394707195
510,1512.576974822641
511,1512.2457091398876
512,1511.9144856012845
513,1511.5833610859288
514,1511.2522787604178
515,1510.9212955161513
516,1510.590354507496
517,1510.259512638156
518,1509.9287130502623
519,1509.5980126598324
